predictor,absolute weight,weight sign
GarageCond_Po,0.0,0.0
GarageCond_TA,0.024246925417783286,1.0
GarageFinish_Fin,0.00020602986668195913,1.0
GarageFinish_None,0.0,0.0
GarageFinish_RFn,0.0,0.0
GarageFinish_Unf,0.010225155824382038,-1.0
GarageQual_Fa,0.012781256360499793,-1.0
GarageQual_Gd,0.0,0.0
GarageQual_None,0.0,0.0
GarageQual_Po,0.0,0.0
GarageQual_TA,0.0,0.0
GarageType_2Types,0.0,0.0
GarageType_Attchd,0.018400758099182117,1.0
GarageType_Basment,0.0,0.0
GarageType_BuiltIn,0.0,0.0
GarageType_CarPort,0.0,0.0
GarageType_Detchd,0.0,0.0
GarageType_None,0.0,0.0
HeatingQC_Ex,0.03030660581421218,1.0
HeatingQC_Fa,0.010283934309653176,-1.0
HeatingQC_Gd,0.0,0.0
HeatingQC_Po,0.0,0.0
HeatingQC_TA,0.0,0.0
Heating_GasA,0.0,0.0
Heating_GasW,0.02672777270349594,1.0
Heating_Grav,0.0,0.0
Heating_Wall,0.0,0.0
HouseStyle_1.5Fin,0.0,0.0
HouseStyle_1.5Unf,0.0,0.0
HouseStyle_1Story,0.0,0.0
HouseStyle_2.5Unf,0.0,0.0
HouseStyle_2Story,0.008871054003849526,-1.0
HouseStyle_SFoyer,0.0,0.0
HouseStyle_SLvl,0.0,0.0
KitchenQual_Ex,0.06778675135714875,1.0
KitchenQual_Fa,0.0,0.0
KitchenQual_Gd,0.0,0.0
KitchenQual_TA,0.014595679952412894,-1.0
LandContour_Bnk,0.043543917709996494,-1.0
LandContour_HLS,0.0,0.0
LandContour_Low,0.0,0.0
LandContour_Lvl,0.0,0.0
LandSlope_Gtl,0.014481973739425976,-1.0
LandSlope_Mod,0.0,0.0
LandSlope_Sev,0.0,0.0
LotConfig_Corner,0.009389392597435462,1.0
LotConfig_CulDSac,0.04690314369183555,1.0
LotConfig_FR2,0.004427054240005894,-1.0
LotConfig_FR3,0.0,0.0
LotConfig_Inside,0.0,0.0
LotShape_IR1,0.0,0.0
LotShape_IR2,0.022917622831086778,1.0
LotShape_IR3,0.0,0.0
LotShape_Reg,0.0016003458553273222,-1.0
MSSubClass_120,0.0,0.0
MSSubClass_160,0.06146884748585252,-1.0
MSSubClass_180,0.0,0.0
MSSubClass_190,0.0,0.0
MSSubClass_20,0.034765986807714575,1.0
MSSubClass_30,0.0679668388985953,-1.0
MSSubClass_40,0.0,0.0
MSSubClass_45,0.0,0.0
MSSubClass_50,0.0,0.0
MSSubClass_60,0.0,0.0
MSSubClass_70,0.0,0.0
MSSubClass_75,0.0,0.0
MSSubClass_80,0.0,0.0
MSSubClass_85,0.0,0.0
MSSubClass_90,0.0,0.0
MSZoning_C (all),0.2881831300104434,-1.0
MSZoning_FV,0.0,0.0
MSZoning_RH,0.0,0.0
MSZoning_RL,0.0028087573454216755,1.0
MSZoning_RM,0.059367533534070066,-1.0
MasVnrType_BrkCmn,0.0,0.0
MasVnrType_BrkFace,0.0,0.0
MasVnrType_None,0.007072820298913387,-1.0
MasVnrType_Stone,0.00014726645814293853,1.0
MiscFeature_Gar2,0.0,0.0
MiscFeature_None,0.0,0.0
MiscFeature_Othr,0.0,0.0
MiscFeature_Shed,0.0,0.0
Neighborhood_Blmngtn,0.0,0.0
Neighborhood_Blueste,0.0,0.0
Neighborhood_BrDale,0.0,0.0
Neighborhood_BrkSide,0.01564459006628871,1.0
Neighborhood_ClearCr,0.0500257159035064,1.0
Neighborhood_CollgCr,0.0,0.0
Neighborhood_Crawfor,0.10472289301864236,1.0
Neighborhood_Edwards,0.05735823370468555,-1.0
Neighborhood_Gilbert,0.0003086147844150287,-1.0
Neighborhood_IDOTRR,0.0,0.0
Neighborhood_MeadowV,0.05385652167235647,-1.0
Neighborhood_Mitchel,0.0,0.0
Neighborhood_NAmes,0.010064412300511737,-1.0
Neighborhood_NPkVill,0.0,0.0
Neighborhood_NWAmes,0.0,0.0
Neighborhood_NoRidge,0.08274708208345445,1.0
Neighborhood_NridgHt,0.09085591361582422,1.0
Neighborhood_OldTown,0.018013652607952686,-1.0
Neighborhood_SWISU,0.0,0.0
Neighborhood_Sawyer,0.0,0.0
Neighborhood_SawyerW,0.0,0.0
Neighborhood_Somerst,0.06053892713616016,1.0
Neighborhood_StoneBr,0.11036682977309678,1.0
Neighborhood_Timber,0.0,0.0
Neighborhood_Veenker,0.0,0.0
PavedDrive_N,0.016064594984299886,-1.0
PavedDrive_P,0.0,0.0
PavedDrive_Y,0.004424666215613945,1.0
PoolQC_Ex,0.0,0.0
PoolQC_Gd,0.0,0.0
PoolQC_None,0.0,0.0
RoofMatl_CompShg,0.0,0.0
RoofMatl_Tar&Grv,0.0,0.0
RoofMatl_WdShake,0.0,0.0
RoofMatl_WdShngl,0.0,0.0
RoofStyle_Flat,0.0,0.0
RoofStyle_Gable,0.008808917432638957,-1.0
RoofStyle_Gambrel,0.0,0.0
RoofStyle_Hip,0.0,0.0
RoofStyle_Mansard,0.0,0.0
RoofStyle_Shed,0.0,0.0
SaleCondition_Abnorml,0.05882626545275714,-1.0
SaleCondition_AdjLand,0.0,0.0
SaleCondition_Alloca,0.0,0.0
SaleCondition_Family,0.0,0.0
SaleCondition_Normal,0.008483663879912064,1.0
SaleCondition_Partial,0.0,0.0
SaleType_COD,0.0,0.0
SaleType_CWD,0.0,0.0
SaleType_Con,0.0,0.0
SaleType_ConLD,0.0,0.0
SaleType_ConLI,0.0,0.0
SaleType_ConLw,0.0,0.0
SaleType_New,0.007231157411289983,1.0
SaleType_Oth,0.0,0.0
SaleType_WD,0.028889098687685896,-1.0
Street_Grvl,0.0,0.0
Street_Pave,0.0,0.0
Utilities_AllPub,0.0,0.0
